var_type,var_name,order,factory,value,binary_value
x,x[1],1,,1.0,1
x,x[2],2,,1.0,1
x,x[3],3,,1.0,1
x,x[4],4,,1.0,1
x,x[5],5,,1.0,1
x,x[6],6,,1.0,1
x,x[7],7,,0.0,0
x,x[8],8,,1.0,1
x,x[9],9,,1.0,1
x,x[10],10,,0.0,0
x,x[11],11,,-0.0,0
x,x[12],12,,-0.0,0
x,x[13],13,,1.0,1
x,x[14],14,,1.0,1
x,x[15],15,,1.0,1
x,x[16],16,,0.0,0
x,x[17],17,,1.0,1
x,x[18],18,,1.0,1
x,x[19],19,,1.0,1
x,x[20],20,,-0.0,0
x,x[21],21,,1.0,1
x,x[22],22,,1.0,1
x,x[23],23,,-1.3877787807814457e-17,0
x,x[24],24,,1.0,1
x,x[25],25,,0.0,0
x,x[26],26,,-0.0,0
x,x[27],27,,1.0,1
x,x[28],28,,1.0,1
x,x[29],29,,0.0,0
x,x[30],30,,-0.0,0
z,"z[1,2]",1,2,0.0,0
z,"z[1,3]",1,3,1.0,1
z,"z[2,3]",2,3,1.0,1
z,"z[3,1]",3,1,1.0,1
z,"z[4,1]",4,1,-0.0,0
z,"z[4,2]",4,2,1.0,1
z,"z[4,3]",4,3,-0.0,0
z,"z[5,2]",5,2,1.0,1
z,"z[5,3]",5,3,0.0,0
z,"z[6,1]",6,1,0.0,0
z,"z[6,2]",6,2,1.0,1
z,"z[6,3]",6,3,-0.0,0
z,"z[7,1]",7,1,0.0,0
z,"z[7,2]",7,2,-0.0,0
z,"z[7,3]",7,3,-0.0,0
z,"z[8,1]",8,1,1.0,1
z,"z[8,3]",8,3,0.0,0
z,"z[9,3]",9,3,1.0,1
z,"z[10,1]",10,1,-0.0,0
z,"z[10,2]",10,2,-0.0,0
z,"z[10,3]",10,3,-0.0,0
z,"z[11,1]",11,1,0.0,0
z,"z[11,2]",11,2,-0.0,0
z,"z[12,1]",12,1,-0.0,0
z,"z[13,3]",13,3,1.0,1
z,"z[14,1]",14,1,-0.0,0
z,"z[14,2]",14,2,1.0,1
z,"z[14,3]",14,3,-0.0,0
z,"z[15,1]",15,1,0.0,0
z,"z[15,2]",15,2,0.0,0
z,"z[15,3]",15,3,1.0,1
z,"z[16,1]",16,1,-0.0,0
z,"z[16,2]",16,2,0.0,0
z,"z[16,3]",16,3,-0.0,0
z,"z[17,1]",17,1,0.0,0
z,"z[17,2]",17,2,1.0,1
z,"z[18,1]",18,1,1.0,1
z,"z[19,1]",19,1,1.0,1
z,"z[20,3]",20,3,-0.0,0
z,"z[21,1]",21,1,-0.0,0
z,"z[21,2]",21,2,1.0,1
z,"z[21,3]",21,3,0.0,0
z,"z[22,2]",22,2,1.0,1
z,"z[23,1]",23,1,-0.0,0
z,"z[23,2]",23,2,-0.0,0
z,"z[24,1]",24,1,-0.0,0
z,"z[24,3]",24,3,1.0,1
z,"z[25,2]",25,2,-0.0,0
z,"z[25,3]",25,3,-0.0,0
z,"z[26,2]",26,2,-0.0,0
z,"z[27,1]",27,1,1.0,1
z,"z[28,1]",28,1,-0.0,0
z,"z[28,2]",28,2,1.0,1
z,"z[28,3]",28,3,-0.0,0
z,"z[29,1]",29,1,-0.0,0
z,"z[29,2]",29,2,-0.0,0
z,"z[29,3]",29,3,-0.0,0
z,"z[30,1]",30,1,0.0,0
z,"z[30,2]",30,2,-0.0,0
z,"z[30,3]",30,3,0.0,0
