var_type,var_name,index_1,index_2,index_3,index_4,value
x,x[1],1,,,,1.0
x,x[2],2,,,,1.0
x,x[3],3,,,,1.0
x,x[4],4,,,,1.0
x,x[5],5,,,,0.0
x,x[6],6,,,,1.0
x,x[7],7,,,,0.0
x,x[8],8,,,,1.0
x,x[9],9,,,,1.0
x,x[10],10,,,,0.0
x,x[11],11,,,,0.0
x,x[12],12,,,,1.0
x,x[13],13,,,,1.0
x,x[14],14,,,,0.0
x,x[15],15,,,,0.0
x,x[16],16,,,,1.0
x,x[17],17,,,,1.0
x,x[18],18,,,,0.0
x,x[19],19,,,,1.0
x,x[20],20,,,,1.0
z,"z[1,1]",1,1,,,1.0
z,"z[1,2]",1,2,,,0.0
z,"z[1,3]",1,3,,,0.0
z,"z[2,1]",2,1,,,1.0
z,"z[2,2]",2,2,,,0.0
z,"z[2,3]",2,3,,,0.0
z,"z[3,1]",3,1,,,1.0
z,"z[3,2]",3,2,,,0.0
z,"z[3,3]",3,3,,,0.0
z,"z[4,1]",4,1,,,0.0
z,"z[4,2]",4,2,,,1.0
z,"z[4,3]",4,3,,,0.0
z,"z[5,1]",5,1,,,0.0
z,"z[5,2]",5,2,,,0.0
z,"z[5,3]",5,3,,,0.0
z,"z[6,1]",6,1,,,0.0
z,"z[6,2]",6,2,,,0.0
z,"z[6,3]",6,3,,,1.0
z,"z[7,1]",7,1,,,0.0
z,"z[7,2]",7,2,,,0.0
z,"z[7,3]",7,3,,,0.0
z,"z[8,1]",8,1,,,0.0
z,"z[8,2]",8,2,,,1.0
z,"z[8,3]",8,3,,,0.0
z,"z[9,1]",9,1,,,0.0
z,"z[9,2]",9,2,,,0.0
z,"z[9,3]",9,3,,,1.0
z,"z[10,1]",10,1,,,0.0
z,"z[10,2]",10,2,,,0.0
z,"z[10,3]",10,3,,,0.0
z,"z[11,1]",11,1,,,0.0
z,"z[11,2]",11,2,,,0.0
z,"z[11,3]",11,3,,,0.0
z,"z[12,1]",12,1,,,0.0
z,"z[12,2]",12,2,,,1.0
z,"z[12,3]",12,3,,,0.0
z,"z[13,1]",13,1,,,0.0
z,"z[13,2]",13,2,,,0.0
z,"z[13,3]",13,3,,,1.0
z,"z[14,1]",14,1,,,0.0
z,"z[14,2]",14,2,,,0.0
z,"z[14,3]",14,3,,,0.0
z,"z[15,1]",15,1,,,0.0
z,"z[15,2]",15,2,,,0.0
z,"z[15,3]",15,3,,,0.0
z,"z[16,1]",16,1,,,1.0
z,"z[16,2]",16,2,,,0.0
z,"z[16,3]",16,3,,,0.0
z,"z[17,1]",17,1,,,0.0
z,"z[17,2]",17,2,,,0.0
z,"z[17,3]",17,3,,,1.0
z,"z[18,1]",18,1,,,0.0
z,"z[18,2]",18,2,,,0.0
z,"z[18,3]",18,3,,,0.0
z,"z[19,1]",19,1,,,0.0
z,"z[19,2]",19,2,,,0.0
z,"z[19,3]",19,3,,,1.0
z,"z[20,1]",20,1,,,0.0
z,"z[20,2]",20,2,,,1.0
z,"z[20,3]",20,3,,,0.0
o,"o[1,1,1]",1,1,1,,28.993078512059682
o,"o[1,1,2]",1,1,2,,37.62646333633893
o,"o[1,1,3]",1,1,3,,47.46164159444244
o,"o[1,1,4]",1,1,4,,56.763538855917275
o,"o[1,2,1]",1,2,1,,0.0
o,"o[1,2,2]",1,2,2,,0.0
o,"o[1,2,3]",1,2,3,,0.0
o,"o[1,3,1]",1,3,1,,0.0
o,"o[1,3,2]",1,3,2,,0.0
o,"o[1,3,3]",1,3,3,,0.0
o,"o[2,1,1]",2,1,1,,12.359945305754493
o,"o[2,1,2]",2,1,2,,21.027521696065918
o,"o[2,1,3]",2,1,3,,30.23423483019876
o,"o[2,1,4]",2,1,4,,39.99079470670962
o,"o[2,2,1]",2,2,1,,0.0
o,"o[2,2,2]",2,2,2,,0.0
o,"o[2,2,3]",2,2,3,,0.0
o,"o[2,3,1]",2,3,1,,0.0
o,"o[2,3,2]",2,3,2,,0.0
o,"o[2,3,3]",2,3,3,,0.0
o,"o[3,1,1]",3,1,1,,20.052784921758636
o,"o[3,1,2]",3,1,2,,28.097108185740368
o,"o[3,1,3]",3,1,3,,37.83354835887639
o,"o[3,1,4]",3,1,4,,47.46164159444194
o,"o[3,2,1]",3,2,1,,0.0
o,"o[3,2,2]",3,2,2,,0.0
o,"o[3,2,3]",3,2,3,,0.0
o,"o[3,3,1]",3,3,1,,0.0
o,"o[3,3,2]",3,3,2,,0.0
o,"o[3,3,3]",3,3,3,,0.0
o,"o[4,1,1]",4,1,1,,0.0
o,"o[4,1,2]",4,1,2,,0.0
o,"o[4,1,3]",4,1,3,,0.0
o,"o[4,1,4]",4,1,4,,0.0
o,"o[4,2,1]",4,2,1,,24.482726379532224
o,"o[4,2,2]",4,2,2,,36.77743534354471
o,"o[4,2,3]",4,2,3,,48.61788777419367
o,"o[4,3,1]",4,3,1,,0.0
o,"o[4,3,2]",4,3,2,,0.0
o,"o[4,3,3]",4,3,3,,0.0
o,"o[5,1,1]",5,1,1,,0.0
o,"o[5,1,2]",5,1,2,,0.0
o,"o[5,1,3]",5,1,3,,0.0
o,"o[5,1,4]",5,1,4,,0.0
o,"o[5,2,1]",5,2,1,,0.0
o,"o[5,2,2]",5,2,2,,0.0
o,"o[5,2,3]",5,2,3,,0.0
o,"o[5,3,1]",5,3,1,,0.0
o,"o[5,3,2]",5,3,2,,0.0
o,"o[5,3,3]",5,3,3,,0.0
o,"o[6,1,1]",6,1,1,,0.0
o,"o[6,1,2]",6,1,2,,0.0
o,"o[6,1,3]",6,1,3,,0.0
o,"o[6,1,4]",6,1,4,,0.0
o,"o[6,2,1]",6,2,1,,0.0
o,"o[6,2,2]",6,2,2,,0.0
o,"o[6,2,3]",6,2,3,,0.0
o,"o[6,3,1]",6,3,1,,37.634918548640876
o,"o[6,3,2]",6,3,2,,49.39654361778354
o,"o[6,3,3]",6,3,3,,62.259425860555694
o,"o[7,1,1]",7,1,1,,0.0
o,"o[7,1,2]",7,1,2,,0.0
o,"o[7,1,3]",7,1,3,,0.0
o,"o[7,1,4]",7,1,4,,0.0
o,"o[7,2,1]",7,2,1,,0.0
o,"o[7,2,2]",7,2,2,,0.0
o,"o[7,2,3]",7,2,3,,0.0
o,"o[7,3,1]",7,3,1,,0.0
o,"o[7,3,2]",7,3,2,,0.0
o,"o[7,3,3]",7,3,3,,0.0
o,"o[8,1,1]",8,1,1,,0.0
o,"o[8,1,2]",8,1,2,,0.0
o,"o[8,1,3]",8,1,3,,0.0
o,"o[8,1,4]",8,1,4,,0.0
o,"o[8,2,1]",8,2,1,,34.955828338436035
